organism,type,x_A,x_V,x_L,x_I,x_M,x_F,x_W,x_P,x_G,x_S,x_T,x_C,x_Y,x_N,x_Q,x_D,x_E,x_K,x_R,x_H
Latrodectus hesperus,MaSp1,29.032,0.000,4.839,13.172,0.000,8.602,0.000,1.613,1.075,11.559,0.000,0.000,0.000,18.280,6.183,0.000,0.000,5.645,0.000,0.000
Latrodectus geometricus,MaSp1,26.240,7.639,2.778,5.456,4.365,12.798,0.000,0.000,3.472,14.435,0.000,0.000,0.000,10.913,10.863,0.000,0.000,1.042,0.000,0.000
Tetragnatha kauaiensis,MaSp1,14.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28.571,14.286,0.000,0.000,0.000,42.857,0.000,0.000,0.000,0.000,0.000,0.000
Trichonephila inaurata madagascariensis,MaSp1,3.917,4.447,4.108,11.325,0.000,0.339,0.000,1.873,15.119,18.100,6.417,0.000,7.563,5.008,0.339,1.515,15.378,4.404,0.148,0.000
Trichonephila clavata,MaSp1,5.581,5.472,0.179,0.089,0.764,0.473,5.000,1.772,22.065,19.572,8.090,2.500,3.333,2.462,7.618,2.701,0.708,8.353,3.269,0.000
Nephila pilipes,MaSp1,4.084,4.458,0.149,19.659,0.393,0.000,0.000,4.296,9.324,39.400,2.797,0.000,0.614,10.342,2.262,0.965,0.080,0.695,0.483,0.000
Parawixia bistriata,MaSp1,50.000,12.500,0.000,12.500,0.000,0.000,0.000,0.000,0.000,12.500,0.000,0.000,0.000,12.500,0.000,0.000,0.000,0.000,0.000,0.000
Cyrtophora moluccensis,MaSp1,0.000,0.000,0.000,19.167,0.000,0.000,0.000,0.000,12.917,38.333,10.417,0.000,0.000,19.167,0.000,0.000,0.000,0.000,0.000,0.000
Caerostris extrusa,MaSp1,8.167,15.306,3.677,2.436,3.759,4.757,0.000,1.907,11.921,16.004,4.805,1.852,2.311,1.028,12.623,6.382,0.055,0.202,2.809,0.000
Caerostris darwini,MaSp1,25.000,0.000,0.000,0.000,0.000,0.000,0.000,25.000,25.000,0.000,25.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Argiope bruennichi,MaSp1,38.462,0.000,15.385,7.692,7.692,0.000,0.000,0.000,15.385,7.692,0.000,0.000,0.000,0.000,7.692,0.000,0.000,0.000,0.000,0.000
Argiope aurantia,MaSp1,50.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Argiope argentata,MaSp1,32.292,3.125,5.556,6.250,3.125,3.125,0.000,0.000,14.236,3.125,0.000,0.000,5.556,14.236,9.375,0.000,0.000,0.000,0.000,0.000
Araneus ventricosus,MaSp1,50.000,0.000,16.667,0.000,0.000,0.000,0.000,16.667,0.000,0.000,0.000,0.000,0.000,16.667,0.000,0.000,0.000,0.000,0.000,0.000
Araneus diadematus,MaSp1,38.182,10.000,0.000,9.091,0.000,0.000,0.000,4.545,10.000,19.091,0.000,0.000,0.000,9.091,0.000,0.000,0.000,0.000,0.000,0.000
