organism,type,fraction_mean,fraction_sd,length_mean,length_sd
Kukulcania hibernalis,MaSp1,4.879,0.201,619.000,199.404
Kukulcania hibernalis,MaSp2,52.874,4.726,199.500,20.506
Larinioides cornutus,AgSp,0.408,0.537,8061.750,4330.427
Latrodectus geometricus,AcSp,6.993,0.088,314.667,76.429
Latrodectus geometricus,MaSp1,4.900,1.793,397.583,156.553
Latrodectus geometricus,MaSp2,2.047,0.968,386.667,13.051
Latrodectus geometricus,MiSp,12.825,6.064,303.316,396.417
Latrodectus geometricus,TuSp,12.148,5.866,180.000,63.640
Latrodectus hasseltii,TuSp,14.827,7.140,193.000,45.255
Latrodectus hesperus,AcSp,8.653,2.446,333.273,110.023
Latrodectus hesperus,AgSp,2.853,2.415,6817.750,12795.705
Latrodectus hesperus,Flag,1.246,1.762,246.500,105.359
Latrodectus hesperus,MaSp1,3.815,1.759,307.645,168.201
Latrodectus hesperus,MaSp2,4.323,2.195,379.889,331.942
Latrodectus hesperus,MaSp3,11.679,0.471,475.000,200.818
Latrodectus hesperus,MiSp,11.306,3.627,492.750,559.381
Latrodectus hesperus,PySp,9.337,2.782,644.000,404.444
Latrodectus hesperus,TuSp,16.298,5.819,451.833,466.004
Latrodectus hesperus,Unknown_type,0.471,0.712,263.889,52.200
Latrodectus mactans,MaSp1,3.150,0.000,127.000,0.000
Latrodectus mactans,TuSp,17.579,8.518,193.000,45.255
Latrodectus tredecimguttatus,MiSp,16.200,4.909,324.750,515.539
Latrodectus tredecimguttatus,TuSp,13.938,8.397,193.000,45.255
Macrothele holsti,MaSp1,6.723,0.000,119.000,0.000
Mastophora hutchinsoni,AgSp,0.393,0.523,4609.500,3769.705
Megahexura fulva,Unknown_type,20.904,0.000,354.000,0.000
Metepeira grandiosa,MiSp,5.116,4.487,282.000,78.619
Metepeira labyrinthea,AgSp,0.567,0.226,6743.000,3833.972
Micrathena sagittata,AgSp,1.126,1.185,10287.000,6953.034
Neoscona crucifera,AgSp,0.772,1.316,5681.000,3414.300
Neoscona theisi,Unknown_type,17.778,0.000,135.000,0.000
Nephila pilipes,AcSp,8.421,0.000,285.000,0.000
Nephila pilipes,AgSp,2.069,1.040,439.000,15.556
Nephila pilipes,MaSp1,4.911,4.418,1064.929,1717.279
Nephila pilipes,Unknown_type,4.120,0.480,1233.000,327.025
Nephilingis cruentata,Major_ampullate_unspecified,2.772,0.000,505.000,0.000
Nephilingis cruentata,MiSp,1.609,0.000,1119.000,0.000
Nephilingis cruentata,PySp,15.750,0.000,673.000,0.000
Nephilingis cruentata,TuSp,26.898,0.000,461.000,0.000
Octonoba grandiconcava,AcSp,21.495,0.000,1405.000,0.000
Octonoba grandiconcava,CrSp,2.149,0.000,1396.000,0.000
Octonoba grandiconcava,CySp,23.968,0.000,1235.000,0.000
Octonoba grandiconcava,Flag,1.852,2.619,255.000,173.948
Octonoba grandiconcava,MaSp1,4.859,0.083,308.000,82.024
Octonoba grandiconcava,MaSp2,3.906,0.000,512.000,0.000
Octonoba grandiconcava,MiSp,4.217,0.000,332.000,0.000
Octonoba grandiconcava,PySp,6.920,0.000,289.000,0.000
Octonoba grandiprojecta,AcSp,15.116,10.163,804.000,816.001
Octonoba grandiprojecta,CrSp,3.351,1.859,1303.500,934.088
Octonoba grandiprojecta,CySp,33.725,0.000,510.000,0.000
Octonoba grandiprojecta,Flag,2.691,3.805,209.000,19.799
Octonoba grandiprojecta,MaSp1,3.958,1.301,423.000,39.598
Octonoba grandiprojecta,MaSp2,8.362,0.000,287.000,0.000
Octonoba grandiprojecta,MiSp,3.742,0.000,1443.000,0.000
Octonoba grandiprojecta,PySp,6.920,0.000,289.000,0.000
Octonoba okinawensis,AcSp,23.201,0.000,1112.000,0.000
Octonoba okinawensis,CrSp,9.524,0.000,315.000,0.000
Octonoba okinawensis,Flag,2.091,2.957,180.000,151.321
Octonoba okinawensis,MaSp1,5.564,0.012,269.500,75.660
Octonoba okinawensis,MaSp2,8.759,0.000,274.000,0.000
Octonoba sybotides,AcSp,19.997,2.221,2976.500,2321.432
Octonoba sybotides,CrSp,2.473,0.232,1706.000,1018.234
Octonoba sybotides,Flag,3.465,1.487,1020.000,315.370
Octonoba sybotides,MaSp1,5.631,1.327,307.500,47.376
Octonoba varians,AcSp,20.968,0.000,1240.000,0.000
Octonoba varians,CrSp,1.394,0.000,4449.000,0.000
Octonoba varians,CySp,10.903,15.420,360.500,398.101
Octonoba varians,Flag,1.204,1.702,571.500,484.368
Octonoba varians,MaSp1,5.682,1.960,216.600,178.063
Octonoba varians,MaSp2,6.366,0.000,377.000,0.000
Octonoba varians,MiSp,5.559,2.406,644.000,482.247
Octonoba varians,PySp,6.228,0.000,289.000,0.000
Octonoba yesoensis,AcSp,23.352,0.000,1396.000,0.000
Octonoba yesoensis,CrSp,2.699,0.000,1630.000,0.000
Octonoba yesoensis,CySp,11.164,15.788,696.000,801.859
Octonoba yesoensis,Flag,1.427,0.167,588.000,465.276
Octonoba yesoensis,MaSp1,4.639,2.764,360.000,123.037
Octonoba yesoensis,MaSp2,5.206,0.000,461.000,0.000
Octonoba yesoensis,MiSp,3.486,1.395,836.500,740.341
Octonoba yesoensis,PySp,6.612,0.000,242.000,0.000
Parasteatoda tepidariorum,AcSp,9.854,4.892,172.000,69.318
Parasteatoda tepidariorum,AgSp,1.768,1.442,456.667,225.380
Parasteatoda tepidariorum,Flag,5.072,2.255,147.500,45.962
Parasteatoda tepidariorum,MaSp1,10.438,6.300,141.391,114.975
Parasteatoda tepidariorum,MaSp2,5.515,6.185,447.800,426.352
Parasteatoda tepidariorum,MaSp3,10.256,0.000,117.000,0.000
Parasteatoda tepidariorum,MiSp,8.791,4.768,307.500,189.647
Parasteatoda tepidariorum,PySp,6.818,0.000,88.000,0.000
Parasteatoda tepidariorum,Unknown_type,15.686,0.000,51.000,0.000
Parawixia bistriata,AcSp,11.350,0.000,652.000,0.000
Parawixia bistriata,MaSp1,2.936,0.000,545.000,0.000
Parawixia bistriata,MaSp2,1.774,0.000,451.000,0.000
Parawixia bistriata,MiSp,3.788,0.000,528.000,0.000
Peucetia viridans,MaSp1,6.122,0.000,490.000,0.000
Pholcus phalangioides,TuSp,12.162,0.000,148.000,0.000
Pholcus phalangioides,Unknown_type,9.836,6.089,353.667,157.651
Physocyclus mexicanus,AcSp,5.479,0.000,146.000,0.000
Plectreurys tristis,Unknown_type,14.344,5.629,1289.000,742.462
Poecilotheria regalis,Unknown_type,15.160,0.000,752.000,0.000
Psechrus sinensis,MaSp1,7.238,0.562,111.000,8.000
Steatoda grossa,AcSp,8.136,2.054,267.500,171.827
Steatoda grossa,AgSp,1.524,1.901,299.600,189.252
Steatoda grossa,Flag,1.370,0.000,292.000,0.000
Steatoda grossa,MaSp1,5.325,5.286,164.000,20.785
Steatoda grossa,MiSp,6.604,5.054,292.760,165.327
Steatoda grossa,PySp,14.538,16.797,305.000,206.475
Steatoda grossa,TuSp,14.877,6.213,238.000,76.269
Stegodyphus mimosarum,MaSp2,7.771,0.000,489.000,0.000
Stegodyphus mimosarum,Unknown_type,6.794,2.589,1559.000,1575.430
Tetragnatha kauaiensis,MaSp1,4.930,0.000,284.000,0.000
Trichonephila antipodiana,MiSp,5.618,0.000,356.000,0.000
Trichonephila antipodiana,Unknown_type,10.841,9.408,267.000,107.480
Trichonephila clavata,AgSp,0.248,0.429,1007.667,813.908
Trichonephila clavata,CySp,23.514,0.000,757.000,0.000
Trichonephila clavata,MaSp1,4.631,7.101,2509.800,2396.761
Trichonephila clavata,MaSp3,0.747,1.023,694.600,616.251
Trichonephila clavata,Unknown_type,1.402,1.415,771.667,881.562
Trichonephila clavipes,AcSp,6.496,1.744,160.500,65.761
Trichonephila clavipes,AgSp,0.820,0.930,410.400,252.359
Trichonephila clavipes,Flag,4.707,1.971,344.800,294.921
Trichonephila clavipes,MaSp1,1.714,2.509,709.625,1237.410
Trichonephila clavipes,MaSp2,5.786,4.321,266.667,82.166
Trichonephila clavipes,MiSp,8.235,4.133,326.500,326.100
Trichonephila clavipes,PySp,19.105,4.831,499.200,359.353
Trichonephila clavipes,TuSp,13.696,3.210,329.000,227.857
Trichonephila clavipes,Unknown_type,2.216,2.232,450.250,266.132
Trichonephila inaurata madagascariensis,AgSp,0.565,0.352,2246.000,742.076
Trichonephila inaurata madagascariensis,Flag,1.805,0.000,1884.000,0.000
Trichonephila inaurata madagascariensis,MaSp1,11.190,9.294,1013.000,1280.943
Trichonephila inaurata madagascariensis,MaSp2,1.745,2.506,1062.000,777.971
Trichonephila inaurata madagascariensis,Unknown_type,4.159,1.195,768.750,519.835
Trichonephila senegalensis,MaSp1,1.581,0.000,253.000,0.000
Trichonephila senegalensis,MaSp2,3.478,0.000,230.000,0.000
Uloborus diversus,MaSp1,4.575,0.000,306.000,0.000
Uloborus diversus,MaSp2,18.381,6.642,160.000,42.426
Uloborus diversus,MiSp,3.036,2.631,448.000,358.724
Uloborus diversus,TuSp,23.307,0.000,1270.000,0.000
Verrucosa arenata,AgSp,1.508,2.513,9666.250,5153.226
Verrucosa arenata,Unknown_type,3.164,2.751,2828.111,1578.087
