organism,type,x_A,x_V,x_L,x_I,x_M,x_F,x_W,x_P,x_G,x_S,x_T,x_C,x_Y,x_N,x_Q,x_D,x_E,x_K,x_R,x_H,x_X
Aliatypus janus,Unknown_type,8.696,8.696,0.000,4.348,0.000,0.000,0.000,0.000,21.739,21.739,8.696,0.000,0.000,8.696,4.348,0.000,0.000,4.348,4.348,4.348,0.000
Aliatypus isolatus,Unknown_type,8.333,8.333,0.000,4.167,0.000,0.000,0.000,0.000,16.667,20.833,16.667,0.000,0.000,4.167,4.167,0.000,0.000,0.000,4.167,4.167,8.333
Aliatypus gulosus,Unknown_type,32.672,13.141,0.000,1.606,0.000,1.205,0.000,4.786,17.217,18.207,0.201,0.000,1.406,2.765,0.000,0.000,5.188,0.000,1.606,0.000,0.000
Aliatypus gnomus,Unknown_type,8.333,8.333,0.000,4.167,0.000,0.000,0.000,0.000,20.833,25.000,12.500,0.000,0.000,8.333,4.167,0.000,0.000,0.000,4.167,4.167,0.000
Aliatypus erebus,Unknown_type,5.556,16.667,0.000,5.556,0.000,0.000,0.000,0.000,11.111,27.778,11.111,0.000,0.000,11.111,5.556,0.000,0.000,0.000,0.000,0.000,5.556
Aliatypus coylei,Unknown_type,30.435,8.696,0.000,0.000,0.000,0.000,0.000,0.000,21.739,17.391,4.348,0.000,0.000,4.348,4.348,0.000,4.348,0.000,0.000,4.348,0.000
Aliatypus californicus,Unknown_type,6.621,8.893,0.000,4.447,0.000,0.000,0.000,0.000,20.059,24.506,11.067,0.000,0.000,6.621,4.447,0.000,0.000,4.545,6.621,2.174,0.000
Aliatypus aquilonius,Unknown_type,30.435,8.696,0.000,0.000,0.000,0.000,0.000,0.000,13.043,8.696,8.696,0.000,0.000,8.696,4.348,0.000,0.000,0.000,4.348,4.348,8.696
Plectreurys tristis,Unknown_type,43.024,11.778,0.000,0.000,0.000,7.447,0.000,0.532,1.064,23.313,9.818,0.000,0.000,1.064,0.532,0.000,0.000,0.714,0.714,0.000,0.000
Pholcus phalangioides,Unknown_type,16.472,15.611,3.077,6.614,2.829,3.093,0.000,0.265,7.064,23.094,5.558,0.000,5.820,3.441,6.534,0.265,0.265,0.000,0.000,0.000,0.000
Crossopriza lyoni,Unknown_type,14.692,5.426,4.551,9.393,1.429,0.292,0.000,2.672,10.693,29.704,6.859,0.000,0.000,6.641,4.101,2.672,0.875,0.000,0.000,0.000,0.000
Dolomedes tenebrosus,Unknown_type,10.526,5.263,10.526,5.263,0.000,0.000,0.000,0.000,47.368,10.526,5.263,0.000,5.263,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Hypochilus thorelli,Unknown_type,18.182,12.626,3.030,5.556,0.000,3.030,0.000,0.000,10.101,28.788,1.515,0.000,11.111,0.000,1.515,0.000,0.000,0.000,4.545,0.000,0.000
Stegodyphus mimosarum,Unknown_type,13.282,3.163,6.081,8.800,0.412,2.353,0.000,5.200,6.645,19.578,4.266,0.000,1.380,2.143,2.549,7.623,4.071,10.016,2.438,0.000,0.000
Trichonephila clavipes,Unknown_type,9.375,0.000,10.417,31.250,0.000,0.000,0.000,0.000,0.000,34.375,0.000,0.000,4.167,0.000,0.000,10.417,0.000,0.000,0.000,0.000,0.000
Verrucosa arenata,Unknown_type,23.961,11.283,0.000,2.394,0.444,0.529,0.000,3.189,26.541,16.803,0.815,0.000,5.718,6.119,1.805,0.146,0.253,0.000,0.000,0.000,0.000
Neoscona theisi,Unknown_type,16.667,0.000,0.000,33.333,0.000,0.000,0.000,0.000,16.667,33.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Argiope trifasciata,Unknown_type,20.091,7.050,6.354,3.847,0.545,1.662,0.000,0.530,18.335,15.798,1.704,0.000,2.004,8.699,3.272,1.802,0.634,6.956,0.718,0.000,0.000
Araneus bicentenarius,Unknown_type,29.167,20.833,0.000,0.000,0.000,0.000,0.000,0.000,0.000,29.167,0.000,0.000,0.000,20.833,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Deinopis spinosa,Unknown_type,10.863,0.510,5.697,0.510,0.000,0.000,0.000,1.531,26.318,16.603,10.417,0.000,0.510,14.031,12.500,0.000,0.510,0.000,0.000,0.000,0.000
Parasteatoda tepidariorum,Unknown_type,25.000,0.000,25.000,25.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.000,0.000,0.000,0.000,0.000
Latrodectus hesperus,Unknown_type,16.667,0.000,16.667,0.000,0.000,0.000,0.000,16.667,0.000,16.667,0.000,0.000,0.000,0.000,16.667,16.667,0.000,0.000,0.000,0.000,0.000
Trichonephila inaurata madagascariensis,Unknown_type,1.562,13.368,1.562,20.486,0.000,2.525,0.000,0.000,6.360,6.250,6.250,0.000,4.688,2.273,12.610,4.088,1.389,4.545,10.906,1.136,0.000
Trichonephila clavata,Unknown_type,6.090,9.936,1.923,14.103,0.000,3.846,0.000,0.000,6.090,6.090,14.583,0.000,1.923,6.250,0.000,4.167,10.417,10.417,4.167,0.000,0.000
Trichonephila antipodiana,Unknown_type,27.500,1.667,1.667,12.500,0.000,1.667,0.000,1.667,0.000,22.500,3.333,0.000,1.667,14.167,6.667,0.000,1.667,1.667,1.667,0.000,0.000
Nephila pilipes,Unknown_type,0.000,2.500,2.967,8.901,0.000,10.151,0.000,0.000,4.217,17.830,14.368,0.000,1.250,11.868,0.000,7.184,9.863,8.901,0.000,0.000,0.000
Cyrtophora citricola,Unknown_type,16.667,0.000,0.000,33.333,0.000,0.000,0.000,0.000,16.667,33.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Caerostris extrusa,Unknown_type,5.822,5.331,9.163,5.120,1.842,4.675,1.242,5.510,5.896,11.393,6.015,2.799,2.406,4.465,3.531,5.174,5.799,5.477,5.691,2.649,0.000
Caerostris darwini,Unknown_type,5.640,5.558,8.391,4.781,1.837,4.286,0.997,6.344,6.412,12.235,6.399,1.924,2.713,4.700,3.727,5.257,5.417,5.917,4.584,2.881,0.000
Argiope bruennichi,Unknown_type,11.111,5.556,13.889,0.000,0.000,0.000,0.000,5.556,25.000,22.222,0.000,0.000,8.333,8.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Argiope aurantia,Unknown_type,27.587,6.742,2.968,5.608,0.978,2.435,0.000,0.391,15.077,13.078,2.756,0.000,0.917,6.660,1.693,2.637,2.347,7.898,0.229,0.000,0.000
Argiope argentata,Unknown_type,30.050,3.905,1.086,5.376,0.188,0.188,0.000,0.426,25.744,11.768,1.502,0.000,0.900,4.446,1.324,1.514,0.945,9.065,1.573,0.000,0.000
Araneus ventricosus,Unknown_type,5.743,5.948,8.485,4.285,1.289,4.162,0.970,5.593,5.418,11.234,6.258,2.422,2.583,4.858,3.198,6.781,6.961,6.225,5.286,2.301,0.000
Araneus diadematus,Unknown_type,27.473,7.108,0.000,14.349,0.000,0.000,0.000,3.743,5.882,24.153,1.471,0.000,0.000,10.183,1.471,0.000,4.167,0.000,0.000,0.000,0.000
